<!-- Created with RosettaNet XSD2ALL 2.3.9 on Fri Aug 22 08:07:48 SGT 2008 -->
,DesignRegistrationConfirmationType,1,1,DesignRegistrationConfirmation
,DesignRegistrationInformationType,2,1,,DesignRegistrationInformation
ud,DatePeriodType,3,0..1,,,DesignEngagementDate
xs,date,4,1,,,,Begin
xs,date,5,1,,,,End
,DesignProjectInformationType,6,1,,,DesignProjectInformation
,DesignAssemblyInformationType,7,1..n,,,,DesignAssemblyInformation
xs,string,8,0..1,,,,,Comments
dmk,DemandCreatorTrackingIdentifierType,9,1,,,,,DemandCreatorTrackingIdentifier
,DesignPartInformationType,10,1..n,,,,,DesignPartInformation
dmk,DemandCreatorTrackingIdentifierType,11,1,,,,,,DemandCreatorTrackingIdentifier
dmk,DesignRegistrationIdentificationType,12,0..1,,,,,,DesignRegistrationIdentification
xs,string,13,0..1,,,,,,,DesignRegistrationIdentifier
ddrn,DesignRegistrationNotificationType,14,1,,,,,,,DesignRegistrationNotification
xs,string,15,1,,,,,,,DesignRegistrationRevision
ud,DatePeriodType,16,0..1,,,,,,,EffectiveRegistrationDate
xs,date,17,1,,,,,,,,Begin
xs,date,18,1,,,,,,,,End
dmk,GeographicRegionType,19,0..1,,,,,,GeographicRegion
uc,CountryType,20,0..n,,,,,,,Country
dgrc,GeographicRegionCodeType,21,0..1,,,,,,,GeographicRegionCode
upi,PartnerDescriptionType,22,0..n,,,,,,PartnerDescription
,,23,1,,,,,,,Choice
upi,FullPartnerType,24,1,,,,,,,,FullPartner
uci,ContactInformationType,25,0..n,,,,,,,,,ContactInformation
udt,ContactType,26,1,,,,,,,,,,Contact
xs,string,27,0..1,,,,,,,,,,Email
xs,string,28,0..1,,,,,,,,,,Fax
xs,string,29,0..1,,,,,,,,,,Identifier
xs,string,30,0..1,,,,,,,,,,Phone
ulc,LocationType,31,0..1,,,,,,,,,Location
,,32,1,,,,,,,,,,Choice
ulc,AlternativeIdentifierType,33,1..n,,,,,,,,,,,AlternativeIdentifier
xs,string,34,1,,,,,,,,,,,,Authority
xs,string,35,1,,,,,,,,,,,,Identifier
udt,DUNSType,36,1,,,,,,,,,,,DUNS
udt,DUNSPlus4Type,37,1,,,,,,,,,,,DUNSPlus4
udt,GLNType,38,1,,,,,,,,,,,GLN
upi,PartnerIdentificationType,39,0..n,,,,,,,,,PartnerIdentification
xs,string,40,0..1,,,,,,,,,,PartnerName
,,41,1,,,,,,,,,,Choice
ulc,AlternativeIdentifierType,42,1..n,,,,,,,,,,,AlternativeIdentifier
xs,string,43,1,,,,,,,,,,,,Authority
xs,string,44,1,,,,,,,,,,,,Identifier
udt,DUNSType,45,1,,,,,,,,,,,DUNS
udt,DUNSPlus4Type,46,1,,,,,,,,,,,DUNSPlus4
udt,GLNType,47,1,,,,,,,,,,,GLN
ulc,PhysicalAddressType,48,0..1,,,,,,,,,PhysicalAddress
xs,string,49,1,,,,,,,,,,AddressLine1
xs,string,50,0..1,,,,,,,,,,AddressLine2
xs,string,51,0..1,,,,,,,,,,AddressLine3
xs,string,52,0..1,,,,,,,,,,AddressLine4
xs,string,53,0..1,,,,,,,,,,AddressLine5
xs,string,54,1,,,,,,,,,,CityName
uc,CountryType,55,1,,,,,,,,,,Country
ucs,CountrySubdivisionType,56,0..1,,,,,,,,,,CountrySubdivision
xs,string,57,0..1,,,,,,,,,,PostalCode
xs,string,58,0..1,,,,,,,,,,PostOfficeBox
upri,ProcessRoleIdentifierType,59,1,,,,,,,,,ProcessRoleIdentifier
upi,IntermittentPartnerType,60,1,,,,,,,,IntermittentPartner
uci,ContactInformationType,61,1,,,,,,,,,ContactInformation
udt,ContactType,62,1,,,,,,,,,,Contact
xs,string,63,0..1,,,,,,,,,,Email
xs,string,64,0..1,,,,,,,,,,Fax
xs,string,65,0..1,,,,,,,,,,Identifier
xs,string,66,0..1,,,,,,,,,,Phone
ulc,PhysicalAddressType,67,1,,,,,,,,,PhysicalAddress
xs,string,68,1,,,,,,,,,,AddressLine1
xs,string,69,0..1,,,,,,,,,,AddressLine2
xs,string,70,0..1,,,,,,,,,,AddressLine3
xs,string,71,0..1,,,,,,,,,,AddressLine4
xs,string,72,0..1,,,,,,,,,,AddressLine5
xs,string,73,1,,,,,,,,,,CityName
uc,CountryType,74,1,,,,,,,,,,Country
ucs,CountrySubdivisionType,75,0..1,,,,,,,,,,CountrySubdivision
xs,string,76,0..1,,,,,,,,,,PostalCode
xs,string,77,0..1,,,,,,,,,,PostOfficeBox
upri,ProcessRoleIdentifierType,78,1,,,,,,,,,ProcessRoleIdentifier
upi,KnownPartnerContactType,79,1,,,,,,,,KnownPartnerContact
uci,ContactInformationType,80,0..n,,,,,,,,,ContactInformation
udt,ContactType,81,1,,,,,,,,,,Contact
xs,string,82,0..1,,,,,,,,,,Email
xs,string,83,0..1,,,,,,,,,,Fax
xs,string,84,0..1,,,,,,,,,,Identifier
xs,string,85,0..1,,,,,,,,,,Phone
upi,KnownPartnerType,86,1,,,,,,,,,KnownPartner
upi,PartnerIdentificationType,87,1,,,,,,,,,,PartnerIdentification
xs,string,88,0..1,,,,,,,,,,,PartnerName
,,89,1,,,,,,,,,,,Choice
ulc,AlternativeIdentifierType,90,1..n,,,,,,,,,,,,AlternativeIdentifier
xs,string,91,1,,,,,,,,,,,,,Authority
xs,string,92,1,,,,,,,,,,,,,Identifier
udt,DUNSType,93,1,,,,,,,,,,,,DUNS
udt,DUNSPlus4Type,94,1,,,,,,,,,,,,DUNSPlus4
udt,GLNType,95,1,,,,,,,,,,,,GLN
upri,ProcessRoleIdentifierType,96,1,,,,,,,,,,ProcessRoleIdentifier
upi,NewPartnerType,97,1,,,,,,,,NewPartner
uci,ContactInformationType,98,1..n,,,,,,,,,ContactInformation
udt,ContactType,99,1,,,,,,,,,,Contact
xs,string,100,0..1,,,,,,,,,,Email
xs,string,101,0..1,,,,,,,,,,Fax
xs,string,102,0..1,,,,,,,,,,Identifier
xs,string,103,0..1,,,,,,,,,,Phone
ulc,LocationType,104,1,,,,,,,,,Location
,,105,1,,,,,,,,,,Choice
ulc,AlternativeIdentifierType,106,1..n,,,,,,,,,,,AlternativeIdentifier
xs,string,107,1,,,,,,,,,,,,Authority
xs,string,108,1,,,,,,,,,,,,Identifier
udt,DUNSType,109,1,,,,,,,,,,,DUNS
udt,DUNSPlus4Type,110,1,,,,,,,,,,,DUNSPlus4
udt,GLNType,111,1,,,,,,,,,,,GLN
upi,PartnerIdentificationType,112,1..n,,,,,,,,,PartnerIdentification
xs,string,113,0..1,,,,,,,,,,PartnerName
,,114,1,,,,,,,,,,Choice
ulc,AlternativeIdentifierType,115,1..n,,,,,,,,,,,AlternativeIdentifier
xs,string,116,1,,,,,,,,,,,,Authority
xs,string,117,1,,,,,,,,,,,,Identifier
udt,DUNSType,118,1,,,,,,,,,,,DUNS
udt,DUNSPlus4Type,119,1,,,,,,,,,,,DUNSPlus4
udt,GLNType,120,1,,,,,,,,,,,GLN
ulc,PhysicalAddressType,121,1,,,,,,,,,PhysicalAddress
xs,string,122,1,,,,,,,,,,AddressLine1
xs,string,123,0..1,,,,,,,,,,AddressLine2
xs,string,124,0..1,,,,,,,,,,AddressLine3
xs,string,125,0..1,,,,,,,,,,AddressLine4
xs,string,126,0..1,,,,,,,,,,AddressLine5
xs,string,127,1,,,,,,,,,,CityName
uc,CountryType,128,1,,,,,,,,,,Country
ucs,CountrySubdivisionType,129,0..1,,,,,,,,,,CountrySubdivision
xs,string,130,0..1,,,,,,,,,,PostalCode
xs,string,131,0..1,,,,,,,,,,PostOfficeBox
upri,ProcessRoleIdentifierType,132,1,,,,,,,,,ProcessRoleIdentifier
dmk,ProductProviderCommentsType,133,0..1,,,,,,ProductProviderComments
dmk,ProductProviderLeadTrackingIdentifierType,134,0..1,,,,,,ProductProviderLeadTrackingIdentifier
dmk,RegistrationDispositionType,135,0..1,,,,,,RegistrationDisposition
ddwsr,DesignWinStatusReasonType,136,0..1,,,,,,,DesignWinStatusReason
dmk,DesignWinStatusReasonCodeExplanationType,137,0..1,,,,,,,DesignWinStatusReasonCodeExplanation
ddp,DispositionType,138,1,,,,,,,Disposition
,,139,1..n,,,,,,Choice
dmk,CoreProductRegistrationType,140,1,,,,,,,CoreProductRegistration
ulc,AlternativeIdentifierType,141,0..1,,,,,,,,AlternativeIdentifier
xs,string,142,1,,,,,,,,,Authority
xs,string,143,1,,,,,,,,,Identifier
udc,BusinessDocumentReferenceType,144,0..n,,,,,,,,BusinessDocumentReference
xs,dateTime,145,0..1,,,,,,,,,DateTime
udct,DocumentTypeType,146,1,,,,,,,,,DocumentType
xs,string,147,1,,,,,,,,,Identifier
xs,string,148,0..1,,,,,,,,,Line
xs,string,149,0..1,,,,,,,,,Revision
xs,string,150,0..1,,,,,,,,,SubLine
dmk,DebitAuthorizationNumberType,151,0..1,,,,,,,,DebitAuthorizationNumber
dmk,DesignCompetitorInformationType,152,0..n,,,,,,,,DesignCompetitorInformation
xs,string,153,0..1,,,,,,,,,Comment
xs,string,154,0..1,,,,,,,,,Name
xs,string,155,0..1,,,,,,,,,PartNumber
sha,MonetaryAmountType,156,0..1,,,,,,,,,TargetResaleAmount
rat,AmountTypeType,157,0..1,,,,,,,,,,AmountType
ume,FinancialAmountType,158,1,,,,,,,,,,FinancialAmount
xs,float,159,1,,,,,,,,,,,Amount
ucr,CurrencyType,160,1,,,,,,,,,,,Currency
rict,InvoiceChargeTypeType,161,0..1,,,,,,,,,,InvoiceChargeType
rmat,MonetaryAmountTypeType,162,0..1,,,,,,,,,,MonetaryAmountType
dmk,DeviceProductRegistrationType,163,0..n,,,,,,,,DeviceProductRegistration
ulc,AlternativeIdentifierType,164,0..1,,,,,,,,,AlternativeIdentifier
xs,string,165,1,,,,,,,,,,Authority
xs,string,166,1,,,,,,,,,,Identifier
udc,BusinessDocumentReferenceType,167,0..n,,,,,,,,,BusinessDocumentReference
xs,dateTime,168,0..1,,,,,,,,,,DateTime
udct,DocumentTypeType,169,1,,,,,,,,,,DocumentType
