<!-- Created with RosettaNet XSD2ALL 2.3.9 on Tue May 22 10:55:33 PDT 2012 -->
,AdvanceShipmentNotificationType,1,1,AdvanceShipmentNotification
,AdvanceShipmentType,2,1,,AdvanceShipment
upi,SpecifiedPartnerDescriptionType,3,1,,,PurchasedBy
,,4,1,,,,Choice
upi,SpecifiedFullPartnerType,5,1,,,,,SpecifiedFullPartner
uci,ContactInformationType,6,0..n,,,,,,ContactInformation
udt,ContactType,7,1,,,,,,,Contact
xs,string,8,0..1,,,,,,,Email
xs,string,9,0..1,,,,,,,Fax
xs,string,10,0..1,,,,,,,Identifier
xs,string,11,0..1,,,,,,,IdentifierCode
xs,string,12,0..1,,,,,,,Phone
ulc,LocationType,13,0..1,,,,,,Location
,,14,1,,,,,,,Choice
ulc,AlternativeIdentifierType,15,1..n,,,,,,,,AlternativeIdentifier
xs,string,16,1,,,,,,,,,Authority
xs,string,17,1,,,,,,,,,Identifier
udt,DUNSType,18,1,,,,,,,,DUNS
udt,DUNSPlus4Type,19,1,,,,,,,,DUNSPlus4
udt,GLNType,20,1,,,,,,,,GLN
upi,PartnerIdentificationType,21,0..n,,,,,,PartnerIdentification
xs,string,22,0..1,,,,,,,PartnerName
,,23,1,,,,,,,Choice
ulc,AlternativeIdentifierType,24,1,,,,,,,,AlternativeIdentifier
xs,string,25,1,,,,,,,,,Authority
xs,string,26,1,,,,,,,,,Identifier
udt,DUNSType,27,1,,,,,,,,DUNS
udt,DUNSPlus4Type,28,1,,,,,,,,DUNSPlus4
udt,GLNType,29,1,,,,,,,,GLN
ulc,PhysicalAddressType,30,0..1,,,,,,PhysicalAddress
xs,string,31,1,,,,,,,AddressLine1
xs,string,32,0..1,,,,,,,AddressLine2
xs,string,33,0..1,,,,,,,AddressLine3
xs,string,34,0..1,,,,,,,AddressLine4
xs,string,35,0..1,,,,,,,AddressLine5
xs,string,36,1,,,,,,,CityName
uc,CountryType,37,1,,,,,,,Country
ucs,CountrySubdivisionType,38,0..1,,,,,,,CountrySubdivision
xs,string,39,0..1,,,,,,,PostalCode
xs,string,40,0..1,,,,,,,PostOfficeBox
upi,SpecifiedIntermittentPartnerType,41,1,,,,,SpecifiedIntermittentPartner
uci,ContactInformationType,42,1,,,,,,ContactInformation
udt,ContactType,43,1,,,,,,,Contact
xs,string,44,0..1,,,,,,,Email
xs,string,45,0..1,,,,,,,Fax
xs,string,46,0..1,,,,,,,Identifier
xs,string,47,0..1,,,,,,,IdentifierCode
xs,string,48,0..1,,,,,,,Phone
ulc,PhysicalAddressType,49,1,,,,,,PhysicalAddress
xs,string,50,1,,,,,,,AddressLine1
xs,string,51,0..1,,,,,,,AddressLine2
xs,string,52,0..1,,,,,,,AddressLine3
xs,string,53,0..1,,,,,,,AddressLine4
xs,string,54,0..1,,,,,,,AddressLine5
xs,string,55,1,,,,,,,CityName
uc,CountryType,56,1,,,,,,,Country
ucs,CountrySubdivisionType,57,0..1,,,,,,,CountrySubdivision
xs,string,58,0..1,,,,,,,PostalCode
xs,string,59,0..1,,,,,,,PostOfficeBox
upi,SpecifiedKnownPartnerContactType,60,1,,,,,SpecifiedKnownPartnerContact
uci,ContactInformationType,61,0..n,,,,,,ContactInformation
udt,ContactType,62,1,,,,,,,Contact
xs,string,63,0..1,,,,,,,Email
xs,string,64,0..1,,,,,,,Fax
xs,string,65,0..1,,,,,,,Identifier
xs,string,66,0..1,,,,,,,IdentifierCode
xs,string,67,0..1,,,,,,,Phone
upi,SpecifiedKnownPartnerType,68,1,,,,,,SpecifiedKnownPartner
upi,PartnerIdentificationType,69,1,,,,,,,PartnerIdentification
xs,string,70,0..1,,,,,,,,PartnerName
,,71,1,,,,,,,,Choice
ulc,AlternativeIdentifierType,72,1,,,,,,,,,AlternativeIdentifier
xs,string,73,1,,,,,,,,,,Authority
xs,string,74,1,,,,,,,,,,Identifier
udt,DUNSType,75,1,,,,,,,,,DUNS
udt,DUNSPlus4Type,76,1,,,,,,,,,DUNSPlus4
udt,GLNType,77,1,,,,,,,,,GLN
upi,SpecifiedNewPartnerType,78,1,,,,,SpecifiedNewPartner
uci,ContactInformationType,79,1..n,,,,,,ContactInformation
udt,ContactType,80,1,,,,,,,Contact
xs,string,81,0..1,,,,,,,Email
xs,string,82,0..1,,,,,,,Fax
xs,string,83,0..1,,,,,,,Identifier
xs,string,84,0..1,,,,,,,IdentifierCode
xs,string,85,0..1,,,,,,,Phone
ulc,LocationType,86,1,,,,,,Location
,,87,1,,,,,,,Choice
ulc,AlternativeIdentifierType,88,1..n,,,,,,,,AlternativeIdentifier
xs,string,89,1,,,,,,,,,Authority
xs,string,90,1,,,,,,,,,Identifier
udt,DUNSType,91,1,,,,,,,,DUNS
udt,DUNSPlus4Type,92,1,,,,,,,,DUNSPlus4
udt,GLNType,93,1,,,,,,,,GLN
upi,PartnerIdentificationType,94,1..n,,,,,,PartnerIdentification
xs,string,95,0..1,,,,,,,PartnerName
,,96,1,,,,,,,Choice
ulc,AlternativeIdentifierType,97,1,,,,,,,,AlternativeIdentifier
xs,string,98,1,,,,,,,,,Authority
xs,string,99,1,,,,,,,,,Identifier
udt,DUNSType,100,1,,,,,,,,DUNS
udt,DUNSPlus4Type,101,1,,,,,,,,DUNSPlus4
udt,GLNType,102,1,,,,,,,,GLN
ulc,PhysicalAddressType,103,1,,,,,,PhysicalAddress
xs,string,104,1,,,,,,,AddressLine1
xs,string,105,0..1,,,,,,,AddressLine2
xs,string,106,0..1,,,,,,,AddressLine3
xs,string,107,0..1,,,,,,,AddressLine4
xs,string,108,0..1,,,,,,,AddressLine5
xs,string,109,1,,,,,,,CityName
uc,CountryType,110,1,,,,,,,Country
ucs,CountrySubdivisionType,111,0..1,,,,,,,CountrySubdivision
xs,string,112,0..1,,,,,,,PostalCode
xs,string,113,0..1,,,,,,,PostOfficeBox
upi,SpecifiedPartnerDescriptionType,114,1,,,ShipFrom
,,115,1,,,,Choice
upi,SpecifiedFullPartnerType,116,1,,,,,SpecifiedFullPartner
uci,ContactInformationType,117,0..n,,,,,,ContactInformation
udt,ContactType,118,1,,,,,,,Contact
xs,string,119,0..1,,,,,,,Email
xs,string,120,0..1,,,,,,,Fax
xs,string,121,0..1,,,,,,,Identifier
xs,string,122,0..1,,,,,,,IdentifierCode
xs,string,123,0..1,,,,,,,Phone
ulc,LocationType,124,0..1,,,,,,Location
,,125,1,,,,,,,Choice
ulc,AlternativeIdentifierType,126,1..n,,,,,,,,AlternativeIdentifier
xs,string,127,1,,,,,,,,,Authority
xs,string,128,1,,,,,,,,,Identifier
udt,DUNSType,129,1,,,,,,,,DUNS
udt,DUNSPlus4Type,130,1,,,,,,,,DUNSPlus4
udt,GLNType,131,1,,,,,,,,GLN
upi,PartnerIdentificationType,132,0..n,,,,,,PartnerIdentification
xs,string,133,0..1,,,,,,,PartnerName
,,134,1,,,,,,,Choice
ulc,AlternativeIdentifierType,135,1,,,,,,,,AlternativeIdentifier
