<!-- Created with RosettaNet XSD2ALL 2.3.9 on Wed Mar 11 10:55:52 SGT 2009 -->
,CaseRequestNotificationType,1,1,CaseRequestNotification
,CaseType,2,1,,Case
,CaseDetailType,3,1,,,CaseDetail
dsv,CaseIDType,4,1,,,,CaseID
xs,string,5,0..n,,,,,AlternativeCaseID
xs,string,6,0..1,,,,,Authority
xs,dateTime,7,0..1,,,,,CaseCreationDatetimeStamp
xs,string,8,1..n,,,,,SP
xs,string,9,1,,,,,SR
dsv,CRContactType,10,0..n,,,,CRContact
udt,ContactType,11,1,,,,,Contact
xs,string,12,0..1,,,,,Email
xs,string,13,0..1,,,,,Fax
xs,string,14,0..1,,,,,Identifier
xs,string,15,0..1,,,,,IdentifierCode
xs,string,16,0..1,,,,,Phone
xs,string,17,0..1,,,,,Address
xs,string,18,0..1,,,,,AltPhone
xs,string,19,1,,,,,CaseOwner
dscp,ContactPreferenceType,20,0..1,,,,,ContactPreference
xs,string,21,0..1,,,,,Id
dsv,FaultType,22,0..n,,,,Fault
xs,string,23,0..1,,,,,Category
xs,string,24,0..n,,,,,Description
xs,dateTime,25,0..1,,,,,DetactTime
xs,dateTime,26,0..1,,,,,WorkingDateTime
dsv,HardwareType,27,0..n,,,,Hardware
updi,ProductIdentificationType,28,1,,,,,ProductIdentification
xs,string,29,0..1,,,,,,ProductName
xs,string,30,0..1,,,,,,Revision
,,31,1,,,,,,Choice
ulc,AlternativeIdentifierType,32,1..n,,,,,,,AlternativeIdentifier
xs,string,33,1,,,,,,,,Authority
xs,string,34,1,,,,,,,,Identifier
udt,GTINType,35,1,,,,,,,GTIN
xs,string,36,0..1,,,,,Version
xs,string,37,0..1,,,,MasterCaseNumber
xs,string,38,0..n,,,,Notes
,ProblemTypeType,39,0..1,,,,ProblemType
xs,string,40,0..1,,,,,ProblemClassification
xs,string,41,0..1,,,,,ProblemSubtype
xs,string,42,0..1,,,,,ProblemType
xs,string,43,0..1,,,,Reason
dsv,RejectCaseType,44,0..1,,,,RejectCase
