<!-- Created with RosettaNet XSD2ALL 2.3.8 on Thu Jul 19 14:20:24 SGT 2007 -->
,WinClaimRequestType,1,1,WinClaimRequest
,DesignWinClaimType,2,1,,DesignWinClaim
xs,string,3,0..n,,,Comments
,DesignRegistrationIdentificationType,4,1..n,,,DesignRegistrationIdentification
udc,BusinessDocumentReferenceType,5,0..n,,,,BusinessDocumentReference
xs,dateTime,6,0..1,,,,,DateTime
udct,DocumentTypeType,7,1,,,,,DocumentType
xs,string,8,1,,,,,Identifier
xs,string,9,0..1,,,,,Line
xs,string,10,0..1,,,,,Revision
xs,string,11,0..1,,,,,SubLine
dmk,DemandCreatorTrackingIdentifierType,12,0..1,,,,DemandCreatorTrackingIdentifier
ddwc,DesignWinClassificationType,13,1,,,,DesignWinClassification
dmk,GeographicRegionType,14,0..1,,,,GeographicRegion
uc,CountryType,15,0..n,,,,,Country
dgrc,GeographicRegionCodeType,16,0..1,,,,,GeographicRegionCode
xs,string,17,1,,,,Identifier
,InvoiceType,18,0..n,,,,Invoice
,InvoiceLineItemType,19,0..n,,,,,InvoiceLineItem
xs,string,20,1,,,,,,LineItemNumber
sha,ProductQuantityType,21,0..1,,,,,,ProductQuantity
dmk,IsDeveloperToolKitType,22,0..1,,,,IsDeveloperToolKit
sha,MonetaryAmountType,23,0..1,,,,MonetaryAmount
rat,AmountTypeType,24,0..1,,,,,AmountType
ume,FinancialAmountType,25,1,,,,,FinancialAmount
xs,float,26,1,,,,,,Amount
ucr,CurrencyType,27,1,,,,,,Currency
rict,InvoiceChargeTypeType,28,0..1,,,,,InvoiceChargeType
rmat,MonetaryAmountTypeType,29,0..1,,,,,MonetaryAmountType
upi,PartnerDescriptionType,30,0..1,,,,PartnerDescription
,,31,1,,,,,Choice
upi,FullPartnerType,32,1,,,,,,FullPartner
uci,ContactInformationType,33,0..n,,,,,,,ContactInformation
udt,ContactType,34,1,,,,,,,,Contact
xs,string,35,0..1,,,,,,,,Email
xs,string,36,0..1,,,,,,,,Fax
xs,string,37,0..1,,,,,,,,Identifier
xs,string,38,0..1,,,,,,,,Phone
ulc,LocationType,39,0..1,,,,,,,Location
,,40,1,,,,,,,,Choice
ulc,AlternativeIdentifierType,41,1..n,,,,,,,,,AlternativeIdentifier
xs,string,42,1,,,,,,,,,,Authority
xs,string,43,1,,,,,,,,,,Identifier
udt,DUNSType,44,1,,,,,,,,,DUNS
udt,DUNSPlus4Type,45,1,,,,,,,,,DUNSPlus4
udt,GLNType,46,1,,,,,,,,,GLN
upi,PartnerIdentificationType,47,0..n,,,,,,,PartnerIdentification
xs,string,48,0..1,,,,,,,,PartnerName
,,49,1,,,,,,,,Choice
ulc,AlternativeIdentifierType,50,1..n,,,,,,,,,AlternativeIdentifier
xs,string,51,1,,,,,,,,,,Authority
xs,string,52,1,,,,,,,,,,Identifier
udt,DUNSType,53,1,,,,,,,,,DUNS
udt,DUNSPlus4Type,54,1,,,,,,,,,DUNSPlus4
udt,GLNType,55,1,,,,,,,,,GLN
ulc,PhysicalAddressType,56,0..1,,,,,,,PhysicalAddress
xs,string,57,1,,,,,,,,AddressLine1
xs,string,58,0..1,,,,,,,,AddressLine2
xs,string,59,0..1,,,,,,,,AddressLine3
xs,string,60,0..1,,,,,,,,AddressLine4
xs,string,61,0..1,,,,,,,,AddressLine5
xs,string,62,1,,,,,,,,CityName
uc,CountryType,63,1,,,,,,,,Country
ucs,CountrySubdivisionType,64,0..1,,,,,,,,CountrySubdivision
xs,string,65,0..1,,,,,,,,PostalCode
xs,string,66,0..1,,,,,,,,PostOfficeBox
upri,ProcessRoleIdentifierType,67,1,,,,,,,ProcessRoleIdentifier
upi,IntermittentPartnerType,68,1,,,,,,IntermittentPartner
