<!-- Created with RosettaNet XSD2ALL 2.3.8 on Thu Jul 19 14:20:40 SGT 2007 -->
,WinClaimConfirmationType,1,1,WinClaimConfirmation
,DesignWinClaimType,2,1,,DesignWinClaim
xs,string,3,0..n,,,Comments
,DesignRegistrationIdentificationType,4,1..n,,,DesignRegistrationIdentification
udc,BusinessDocumentReferenceType,5,0..n,,,,BusinessDocumentReference
xs,dateTime,6,0..1,,,,,DateTime
udct,DocumentTypeType,7,1,,,,,DocumentType
xs,string,8,1,,,,,Identifier
xs,string,9,0..1,,,,,Line
xs,string,10,0..1,,,,,Revision
xs,string,11,0..1,,,,,SubLine
dmk,DemandCreatorTrackingIdentifierType,12,0..1,,,,DemandCreatorTrackingIdentifier
ddwc,DesignWinClassificationType,13,1,,,,DesignWinClassification
dmk,GeographicRegionType,14,0..1,,,,GeographicRegion
uc,CountryType,15,0..n,,,,,Country
dgrc,GeographicRegionCodeType,16,0..1,,,,,GeographicRegionCode
xs,string,17,1,,,,Identifier
,InvoiceType,18,0..n,,,,Invoice
,InvoiceLineItemType,19,0..1,,,,,InvoiceLineItem
dmk,DebitAuthorizationNumberType,20,0..1,,,,,,DebitAuthorizationNumber
ume,FinancialAmountType,21,0..1,,,,,,InvoiceAmount
xs,float,22,1,,,,,,,Amount
ucr,CurrencyType,23,1,,,,,,,Currency
xs,string,24,1,,,,,,LineItemNumber
sha,ProductQuantityType,25,0..1,,,,,,ProductQuantity
uuom,UnitOfMeasureType,26,0..1,,,,,,UnitOfMeasure
udc,BusinessDocumentReferenceType,27,1,,,,,InvoiceNumber
xs,dateTime,28,0..1,,,,,,DateTime
udct,DocumentTypeType,29,1,,,,,,DocumentType
xs,string,30,1,,,,,,Identifier
xs,string,31,0..1,,,,,,Line
xs,string,32,0..1,,,,,,Revision
xs,string,33,0..1,,,,,,SubLine
upi,PartnerDescriptionType,34,0..1,,,,PartnerDescription
,,35,1,,,,,Choice
upi,FullPartnerType,36,1,,,,,,FullPartner
uci,ContactInformationType,37,0..n,,,,,,,ContactInformation
udt,ContactType,38,1,,,,,,,,Contact
xs,string,39,0..1,,,,,,,,Email
xs,string,40,0..1,,,,,,,,Fax
xs,string,41,0..1,,,,,,,,Identifier
xs,string,42,0..1,,,,,,,,Phone
ulc,LocationType,43,0..1,,,,,,,Location
,,44,1,,,,,,,,Choice
ulc,AlternativeIdentifierType,45,1..n,,,,,,,,,AlternativeIdentifier
xs,string,46,1,,,,,,,,,,Authority
xs,string,47,1,,,,,,,,,,Identifier
udt,DUNSType,48,1,,,,,,,,,DUNS
udt,DUNSPlus4Type,49,1,,,,,,,,,DUNSPlus4
udt,GLNType,50,1,,,,,,,,,GLN
upi,PartnerIdentificationType,51,0..n,,,,,,,PartnerIdentification
xs,string,52,0..1,,,,,,,,PartnerName
,,53,1,,,,,,,,Choice
ulc,AlternativeIdentifierType,54,1..n,,,,,,,,,AlternativeIdentifier
xs,string,55,1,,,,,,,,,,Authority
xs,string,56,1,,,,,,,,,,Identifier
udt,DUNSType,57,1,,,,,,,,,DUNS
udt,DUNSPlus4Type,58,1,,,,,,,,,DUNSPlus4
udt,GLNType,59,1,,,,,,,,,GLN
ulc,PhysicalAddressType,60,0..1,,,,,,,PhysicalAddress
xs,string,61,1,,,,,,,,AddressLine1
xs,string,62,0..1,,,,,,,,AddressLine2
xs,string,63,0..1,,,,,,,,AddressLine3
xs,string,64,0..1,,,,,,,,AddressLine4
xs,string,65,0..1,,,,,,,,AddressLine5
xs,string,66,1,,,,,,,,CityName
uc,CountryType,67,1,,,,,,,,Country
ucs,CountrySubdivisionType,68,0..1,,,,,,,,CountrySubdivision
xs,string,69,0..1,,,,,,,,PostalCode
xs,string,70,0..1,,,,,,,,PostOfficeBox
upri,ProcessRoleIdentifierType,71,1,,,,,,,ProcessRoleIdentifier
upi,IntermittentPartnerType,72,1,,,,,,IntermittentPartner
uci,ContactInformationType,73,1,,,,,,,ContactInformation
udt,ContactType,74,1,,,,,,,,Contact
xs,string,75,0..1,,,,,,,,Email
xs,string,76,0..1,,,,,,,,Fax
