,MaterialCompositionInformationDistributionType,1,1,MaterialCompositionInformationDistribution
udcmn,BusinessDocumentReferenceType,2,0..1,,AgreementIdentifier
xs,dateTime,3,0..1,,,DateTime
urdmt,DocumentTypeType,4,1,,,DocumentType
xs,string,5,1,,,Identifier
xs,string,6,0..1,,,Line
xs,string,7,0..1,,,Revision
xs,string,8,0..1,,,SubLine
sdctr,DocumentHeaderType,9,1,,DocumentHeader
sdctr,CorrelationInformationType,10,0..1,,,CorrelationInformation
sdctr,ContractInformationType,11,0..1,,,,ContractInformation
xs,string,12,0..1,,,,,ContractIdentifier
xs,string,13,0..1,,,,,ContractType
sdctr,RequestingDocumentInformationType,14,0..1,,,,RequestingDocumentInformation
xs,string,15,0..1,,,,,BusinessProcessInstanceIdentifier
xs,dateTime,16,0..1,,,,,RequestingDocumentCreationDateTime
xs,string,17,1,,,,,RequestingDocumentInstanceIdentifier
xs,dateTime,18,0..1,,,,,ResponseDateTime
sdctr,DocumentInformationType,19,1,,,DocumentInformation
xs,dateTime,20,1,,,,Creation
sdctr,DocumentIdentificationType,21,1,,,,DocumentIdentification
xs,string,22,1,,,,,Identifier
xs,string,23,0..1,,,,,Type
,,24,1,,,,,Choice
sdctr,StandardDocumentIdentificationType,25,1,,,,,,StandardDocumentIdentification
xs,string,26,0..1,,,,,,,Standard
xs,string,27,1,,,,,,,Version
sdctr,TpirPipIdentificationType,28,1,,,,,,TpirPipIdentification
udtyp,DunsPlus4Type,29,1,,,,,,,PartnerId
sdctr,PipIdentifierType,30,1,,,,,,,PipIdentifier
sdctr,PipVersionType,31,1,,,,,,,PipVersion
srsps,TpirBusinessProcessIdentifierType,32,1,,,,,,,TpirBusinessProcessIdentifier
sdctr,VersionIdentifierType,33,1,,,,,,,TpirPipVersion
sdctr,DocumentManifestType,34,0..1,,,,DocumentManifest
sdctr,ManifestItemType,35,1..n,,,,,ManifestItem
xs,string,36,0..1,,,,,,Description
uslng,LanguageType,37,0..1,,,,,,Language
xs,positiveInteger,38,0..1,,,,,,Length
urmyq,MimeTypeQualifierType,39,1,,,,,,MimeTypeQualifier
xs,string,40,1,,,,,,UniversalResourceIdentifier
xs,boolean,41,0..1,,,,,MultipleType
xs,positiveInteger,42,1,,,,,NumberOfItems
sdctr,DocumentSecurityType,43,0..1,,,,DocumentSecurity
xs,boolean,44,1,,,,,NonRepudiableReceipt
xs,boolean,45,1,,,,,PersistentEncryption
xs,boolean,46,1,,,,,PersistentSignature
xs,string,47,0..1,,,HeaderVersion
sdctr,ReceiverType,48,1,,,Receiver
sdctr,BusinessServiceInformationType,49,0..1,,,,BusinessServiceInformation
xs,string,50,1,,,,,ActionName
xs,string,51,1,,,,,ProcessIdentifier
xs,string,52,0..1,,,,,ProcessReference
xs,string,53,0..1,,,,,ProcessState
xs,string,54,1,,,,,ServiceName
ucttf,ContactInformationType,55,0..n,,,,ContactInformation
udtyp,ContactType,56,1,,,,,Contact
xs,string,57,0..1,,,,,Email
xs,string,58,0..1,,,,,Fax
xs,string,59,0..1,,,,,Identifier
xs,string,60,0..1,,,,,Phone
uptrn,PartnerIdentificationType,61,1,,,,PartnerIdentification
,,62,1,,,,,Choice
ulctn,AlternativeIdentifierType,63,1..n,,,,,,AlternativeIdentifier
xs,string,64,1,,,,,,,Authority
xs,string,65,1,,,,,,,Identifier
udtyp,DunsType,66,1,,,,,,Duns
udtyp,DunsPlus4Type,67,1,,,,,,DunsPlus4
sdctr,SenderType,68,1,,,Sender
sdctr,BusinessServiceInformationType,69,0..1,,,,BusinessServiceInformation
xs,string,70,1,,,,,ActionName
xs,string,71,1,,,,,ProcessIdentifier
xs,string,72,0..1,,,,,ProcessReference
xs,string,73,0..1,,,,,ProcessState
xs,string,74,1,,,,,ServiceName
ucttf,ContactInformationType,75,0..n,,,,ContactInformation
udtyp,ContactType,76,1,,,,,Contact
xs,string,77,0..1,,,,,Email
xs,string,78,0..1,,,,,Fax
xs,string,79,0..1,,,,,Identifier
xs,string,80,0..1,,,,,Phone
uptrn,PartnerIdentificationType,81,1,,,,PartnerIdentification
,,82,1,,,,,Choice
ulctn,AlternativeIdentifierType,83,1..n,,,,,,AlternativeIdentifier
xs,string,84,1,,,,,,,Authority
xs,string,85,1,,,,,,,Identifier
udtyp,DunsType,86,1,,,,,,Duns
udtyp,DunsPlus4Type,87,1,,,,,,DunsPlus4
,ProductInformationType,88,1..n,,ProductInformation
dsgn,DependentConditionType,89,0..n,,,DependentCondition
drnct,ActionCodeType,90,1,,,,ActionCode
dsgn,ActualValueType,91,1..n,,,,ActualValue
dsgn,ToleranceType,92,0..1,,,,,NegativeTolerance
xs,decimal,93,1,,,,,,Absolute
xs,decimal,94,1,,,,,,Percentage
dsgn,ToleranceType,95,0..1,,,,,PositiveTolerance
xs,decimal,96,1,,,,,,Absolute
xs,decimal,97,1,,,,,,Percentage
drnlv,LevelType,98,0..1,,,,,Type
urntf,UnitOfMeasureType,99,1,,,,,UnitOfMeasure
xs,float,100,1,,,,,Value
xs,string,101,0..1,,,,Name
dsgn,NoteType,102,0..n,,,DistributionNote
xs,boolean,103,0..1,,,IsGeneric
uptrn,KnownPartnerType,104,0..1,,,KnownPartner
uptrn,PartnerIdentificationType,105,1,,,,PartnerIdentification
,,106,1,,,,,Choice
ulctn,AlternativeIdentifierType,107,1..n,,,,,,AlternativeIdentifier
xs,string,108,1,,,,,,,Authority
xs,string,109,1,,,,,,,Identifier
udtyp,DunsType,110,1,,,,,,Duns
udtyp,DunsPlus4Type,111,1,,,,,,DunsPlus4
urrrn,ProcessRoleIdentifierType,112,1,,,,ProcessRoleIdentifier
dsgn,MaterialType,113,0..n,,,Material
xs,string,114,0..1,,,,Classification
dsgn,DependentConditionType,115,0..n,,,,DependentCondition
drnct,ActionCodeType,116,1,,,,,ActionCode
dsgn,ActualValueType,117,1..n,,,,,ActualValue
dsgn,ToleranceType,118,0..1,,,,,,NegativeTolerance
xs,decimal,119,1,,,,,,,Absolute
xs,decimal,120,1,,,,,,,Percentage
dsgn,ToleranceType,121,0..1,,,,,,PositiveTolerance
xs,decimal,122,1,,,,,,,Absolute
xs,decimal,123,1,,,,,,,Percentage
drnlv,LevelType,124,0..1,,,,,,Type
urntf,UnitOfMeasureType,125,1,,,,,,UnitOfMeasure
xs,float,126,1,,,,,,Value
xs,string,127,0..1,,,,,Name
xs,string,128,1,,,,Identifier
dsgn,MaterialMassType,129,0..1,,,,MaterialMass
dsgn,MassType,130,0..n,,,,,Mass
drnlv,LevelType,131,1,,,,,,Level
dsgn,ValueType,132,1,,,,,,Value
dsgn,MassPercentageType,133,0..n,,,,,MassPercentage
drnlv,LevelType,134,1,,,,,,Level
udtyp,PercentAmountType,135,1,,,,,,Value
urntf,UnitOfMeasureType,136,1,,,,,UnitOfMeasure
xs,string,137,0..1,,,,StandardNumber
dsgn,SubstanceType,138,0..n,,,,Substance
xs,string,139,0..1,,,,,Classification
dsgn,DependentConditionType,140,0..n,,,,,DependentCondition
drnct,ActionCodeType,141,1,,,,,,ActionCode
dsgn,ActualValueType,142,1..n,,,,,,ActualValue
dsgn,ToleranceType,143,0..1,,,,,,,NegativeTolerance
xs,decimal,144,1,,,,,,,,Absolute
xs,decimal,145,1,,,,,,,,Percentage
dsgn,ToleranceType,146,0..1,,,,,,,PositiveTolerance
xs,decimal,147,1,,,,,,,,Absolute
xs,decimal,148,1,,,,,,,,Percentage
drnlv,LevelType,149,0..1,,,,,,,Type
urntf,UnitOfMeasureType,150,1,,,,,,,UnitOfMeasure
xs,float,151,1,,,,,,,Value
xs,string,152,0..1,,,,,,Name
xs,string,153,1,,,,,Name
dsgn,RadioactivityType,154,0..n,,,,,Radioactivity
xs,string,155,1,,,,,,IsotopeNameCode
xs,decimal,156,1,,,,,,MaxActivityLevel
dsgn,NoteType,157,0..1,,,,,,RadioactivityNote
xs,decimal,158,1,,,,,,TypicalActivityLevel
dsgn,SubstanceIdentificationType,159,1,,,,,SubstanceIdentification
,,160,1,,,,,,Choice
ulctn,AlternativeIdentifierType,161,1..n,,,,,,,AlternativeIdentifier
xs,string,162,1,,,,,,,,Authority
xs,string,163,1,,,,,,,,Identifier
dsgn,CASType,164,1,,,,,,,CAS
dsgn,SubstanceMassType,165,1,,,,,SubstanceMass
dsgn,MassType,166,1..n,,,,,,Mass
drnlv,LevelType,167,1,,,,,,,Level
dsgn,ValueType,168,1,,,,,,,Value
dsgn,MassPercentageType,169,0..n,,,,,,MassPercentage
drnlv,LevelType,170,1,,,,,,,Level
udtyp,PercentAmountType,171,1,,,,,,,Value
urntf,UnitOfMeasureType,172,1,,,,,,UnitOfMeasure
dsgn,NoteType,173,0..1,,,,,SubstanceNote
xs,string,174,0..1,,,,TradeName
xs,string,175,1,,,,Type
drnct,ActionCodeType,176,0..1,,,ProductActionCode
updtn,ProductDescriptionType,177,1,,,ProductIdentifier
xs,string,178,1,,,,Name
updtn,ProductIdentificationType,179,1..n,,,,ProductIdentification
xs,string,180,0..1,,,,,Revision
,,181,1,,,,,Choice
ulctn,AlternativeIdentifierType,182,1..n,,,,,,AlternativeIdentifier
xs,string,183,1,,,,,,,Authority
xs,string,184,1,,,,,,,Identifier
udtyp,GtinType,185,1,,,,,,Gtin
updtn,TextualDescriptionType,186,0..1,,,,TextualDescription
xs,string,187,0..1,,,,,Detail
xs,string,188,1,,,,,Primary
xs,string,189,0..1,,,,,Summary
,ProductInformationObjectType,190,0..n,,,ProductInformationObject
xs,string,191,0..1,,,,ContentTypeReference
dsgn,NoteType,192,0..n,,,,DescriptionNote
xs,dateTime,193,0..1,,,,EffectiveDate
xs,nonNegativeInteger,194,1,,,,Identifier
xs,dateTime,195,0..1,,,,ModificationDate
xs,string,196,1,,,,Name
drnct,ActionCodeType,197,0..1,,,,PIOActionCode
dsgn,ReferenceLocatorType,198,0..1,,,,ReferenceLocator
xs,string,199,0..1,,,,,ContentTypeReference
xs,nonNegativeInteger,200,0..1,,,,,FileFormatReference
xs,nonNegativeInteger,201,0..1,,,,,FileSize
xs,string,202,0..n,,,,,Reference
xs,string,203,0..n,,,,,UrlLegal
,,204,1,,,,,Choice
dsgn,AttachmentType,205,1,,,,,,Attachment
dsgn,urlType,206,1..n,,,,,,url
xs,nonNegativeInteger,207,0..1,,,,Version
dsgn,ProductMassType,208,1,,,ProductMass
dsgn,MassType,209,1..n,,,,Mass
drnlv,LevelType,210,1,,,,,Level
dsgn,ValueType,211,1,,,,,Value
dsgn,MassPercentageType,212,0..n,,,,MassPercentage
drnlv,LevelType,213,1,,,,,Level
udtyp,PercentAmountType,214,1,,,,,Value
urntf,UnitOfMeasureType,215,1,,,,UnitOfMeasure
dsgn,SubpartType,216,0..n,,,Subpart
dsgn,DependentConditionType,217,0..n,,,,DependentCondition
drnct,ActionCodeType,218,1,,,,,ActionCode
dsgn,ActualValueType,219,1..n,,,,,ActualValue
dsgn,ToleranceType,220,0..1,,,,,,NegativeTolerance
xs,decimal,221,1,,,,,,,Absolute
