<!-- Created with RosettaNet XSD2ALL 2.3.8 on Mon Jul 02 16:07:15 SGT 2007 -->
,PriceAndAvailabilityRequestType,1,1,PriceAndAvailabilityRequest
xs,string,2,0..n,,BusinessConstraint
ssdh,DocumentHeaderType,3,0..1,,DocumentHeader
ssdh,CorrelationInformationType,4,0..1,,,CorrelationInformation
ssdh,ContractInformationType,5,0..1,,,,ContractInformation
xs,string,6,0..1,,,,,ContractIdentifier
xs,string,7,0..1,,,,,ContractType
ssdh,RequestingDocumentInformationType,8,0..1,,,,RequestingDocumentInformation
xs,string,9,0..1,,,,,BusinessProcessInstanceIdentifier
xs,dateTime,10,0..1,,,,,RequestingDocumentCreationDateTime
xs,string,11,1,,,,,RequestingDocumentInstanceIdentifier
xs,dateTime,12,0..1,,,,,ResponseDateTime
ssdh,DocumentInformationType,13,1,,,DocumentInformation
xs,dateTime,14,1,,,,Creation
ssdh,DocumentIdentificationType,15,1,,,,DocumentIdentification
xs,string,16,1,,,,,Identifier
xs,string,17,0..1,,,,,Type
,,18,1,,,,,Choice
ssdh,StandardDocumentIdentificationType,19,1,,,,,,StandardDocumentIdentification
xs,string,20,0..1,,,,,,,Standard
xs,string,21,1,,,,,,,Version
ssdh,TpirPipIdentificationType,22,1,,,,,,TpirPipIdentification
sft,TPIRFileTypeType,23,0..1,,,,,,,FileType
udt,DUNSPlus4Type,24,1,,,,,,,PartnerId
ssdh,PipIdentifierType,25,1,,,,,,,PipIdentifier
ssdh,PipVersionType,26,1,,,,,,,PipVersion
ssdh,BusinessProcessIdentifierType,27,0..1,,,,,,,TpirBusinessProcessIdentifier
ssdh,VersionIdentifierType,28,1,,,,,,,TpirPipVersion
xs,anyURI,29,0..1,,,,,,,Uri
ssdh,DocumentManifestType,30,0..1,,,,DocumentManifest
ssdh,ManifestItemType,31,1..n,,,,,ManifestItem
xs,string,32,0..1,,,,,,Description
ul,LanguageType,33,0..1,,,,,,Language
xs,positiveInteger,34,0..1,,,,,,Length
umtq,MimeTypeQualifierType,35,1,,,,,,MimeTypeQualifier
xs,string,36,1,,,,,,UniversalResourceIdentifier
xs,boolean,37,0..1,,,,,MultipleType
xs,positiveInteger,38,1,,,,,NumberOfItems
ssdh,DocumentSecurityType,39,0..1,,,,DocumentSecurity
xs,boolean,40,1,,,,,NonRepudiableReceipt
xs,boolean,41,1,,,,,PersistentEncryption
xs,boolean,42,1,,,,,PersistentSignature
xs,string,43,0..1,,,HeaderVersion
ssdh,ReceiverType,44,1,,,Receiver
ssdh,BusinessServiceInformationType,45,0..1,,,,BusinessServiceInformation
xs,string,46,1,,,,,ActionName
xs,string,47,1,,,,,ProcessIdentifier
xs,string,48,0..1,,,,,ProcessReference
xs,string,49,0..1,,,,,ProcessState
xs,string,50,1,,,,,ServiceName
uci,ContactInformationType,51,0..n,,,,ContactInformation
udt,ContactType,52,1,,,,,Contact
xs,string,53,0..1,,,,,Email
xs,string,54,0..1,,,,,Fax
xs,string,55,0..1,,,,,Identifier
xs,string,56,0..1,,,,,Phone
upi,PartnerIdentificationType,57,1,,,,PartnerIdentification
xs,string,58,0..1,,,,,PartnerName
,,59,1,,,,,Choice
ulc,AlternativeIdentifierType,60,1..n,,,,,,AlternativeIdentifier
xs,string,61,1,,,,,,,Authority
xs,string,62,1,,,,,,,Identifier
udt,DUNSType,63,1,,,,,,DUNS
udt,DUNSPlus4Type,64,1,,,,,,DUNSPlus4
udt,GLNType,65,1,,,,,,GLN
ssdh,SenderType,66,1,,,Sender
ssdh,BusinessServiceInformationType,67,0..1,,,,BusinessServiceInformation
xs,string,68,1,,,,,ActionName
xs,string,69,1,,,,,ProcessIdentifier
xs,string,70,0..1,,,,,ProcessReference
xs,string,71,0..1,,,,,ProcessState
xs,string,72,1,,,,,ServiceName
uci,ContactInformationType,73,0..n,,,,ContactInformation
udt,ContactType,74,1,,,,,Contact
xs,string,75,0..1,,,,,Email
xs,string,76,0..1,,,,,Fax
xs,string,77,0..1,,,,,Identifier
xs,string,78,0..1,,,,,Phone
upi,PartnerIdentificationType,79,1,,,,PartnerIdentification
xs,string,80,0..1,,,,,PartnerName
,,81,1,,,,,Choice
ulc,AlternativeIdentifierType,82,1..n,,,,,,AlternativeIdentifier
xs,string,83,1,,,,,,,Authority
xs,string,84,1,,,,,,,Identifier
udt,DUNSType,85,1,,,,,,DUNS
udt,DUNSPlus4Type,86,1,,,,,,DUNSPlus4
udt,GLNType,87,1,,,,,,GLN
upi,PartnerDescriptionType,88,0..1,,PartnerDescription
,,89,1,,,Choice
upi,FullPartnerType,90,1,,,,FullPartner
uci,ContactInformationType,91,0..n,,,,,ContactInformation
udt,ContactType,92,1,,,,,,Contact
xs,string,93,0..1,,,,,,Email
xs,string,94,0..1,,,,,,Fax
xs,string,95,0..1,,,,,,Identifier
xs,string,96,0..1,,,,,,Phone
ulc,LocationType,97,0..1,,,,,Location
,,98,1,,,,,,Choice
ulc,AlternativeIdentifierType,99,1..n,,,,,,,AlternativeIdentifier
xs,string,100,1,,,,,,,,Authority
xs,string,101,1,,,,,,,,Identifier
udt,DUNSType,102,1,,,,,,,DUNS
udt,DUNSPlus4Type,103,1,,,,,,,DUNSPlus4
udt,GLNType,104,1,,,,,,,GLN
upi,PartnerIdentificationType,105,0..n,,,,,PartnerIdentification
xs,string,106,0..1,,,,,,PartnerName
,,107,1,,,,,,Choice
ulc,AlternativeIdentifierType,108,1..n,,,,,,,AlternativeIdentifier
xs,string,109,1,,,,,,,,Authority
xs,string,110,1,,,,,,,,Identifier
udt,DUNSType,111,1,,,,,,,DUNS
udt,DUNSPlus4Type,112,1,,,,,,,DUNSPlus4
udt,GLNType,113,1,,,,,,,GLN
ulc,PhysicalAddressType,114,0..1,,,,,PhysicalAddress
xs,string,115,1,,,,,,AddressLine1
xs,string,116,0..1,,,,,,AddressLine2
xs,string,117,0..1,,,,,,AddressLine3
xs,string,118,0..1,,,,,,AddressLine4
xs,string,119,0..1,,,,,,AddressLine5
xs,string,120,1,,,,,,CityName
uc,CountryType,121,1,,,,,,Country
ucs,CountrySubdivisionType,122,0..1,,,,,,CountrySubdivision
xs,string,123,0..1,,,,,,PostalCode
xs,string,124,0..1,,,,,,PostOfficeBox
upri,ProcessRoleIdentifierType,125,1,,,,,ProcessRoleIdentifier
upi,IntermittentPartnerType,126,1,,,,IntermittentPartner
uci,ContactInformationType,127,1,,,,,ContactInformation
udt,ContactType,128,1,,,,,,Contact
xs,string,129,0..1,,,,,,Email
xs,string,130,0..1,,,,,,Fax
xs,string,131,0..1,,,,,,Identifier
xs,string,132,0..1,,,,,,Phone
ulc,PhysicalAddressType,133,1,,,,,PhysicalAddress
xs,string,134,1,,,,,,AddressLine1
xs,string,135,0..1,,,,,,AddressLine2
xs,string,136,0..1,,,,,,AddressLine3
xs,string,137,0..1,,,,,,AddressLine4
xs,string,138,0..1,,,,,,AddressLine5
xs,string,139,1,,,,,,CityName
uc,CountryType,140,1,,,,,,Country
ucs,CountrySubdivisionType,141,0..1,,,,,,CountrySubdivision
xs,string,142,0..1,,,,,,PostalCode
xs,string,143,0..1,,,,,,PostOfficeBox
