,SalesReportNotificationType,1,1,SalesReportNotification
sdctr,DocumentHeaderType,2,1,,DocumentHeader
sdctr,CorrelationInformationType,3,0..1,,,CorrelationInformation
sdctr,ContractInformationType,4,0..1,,,,ContractInformation
xs,string,5,0..1,,,,,ContractIdentifier
xs,string,6,0..1,,,,,ContractType
sdctr,RequestingDocumentInformationType,7,0..1,,,,RequestingDocumentInformation
xs,string,8,0..1,,,,,BusinessProcessInstanceIdentifier
xs,dateTime,9,0..1,,,,,RequestingDocumentCreationDateTime
xs,string,10,1,,,,,RequestingDocumentInstanceIdentifier
xs,dateTime,11,0..1,,,,,ResponseDateTime
sdctr,DocumentInformationType,12,1,,,DocumentInformation
xs,dateTime,13,1,,,,Creation
sdctr,DocumentIdentificationType,14,1,,,,DocumentIdentification
xs,string,15,1,,,,,Identifier
xs,string,16,0..1,,,,,Standard
xs,string,17,0..1,,,,,Type
xs,string,18,0..1,,,,,Version
sdctr,DocumentManifestType,19,0..1,,,,DocumentManifest
sdctr,ManifestItemType,20,1..n,,,,,ManifestItem
xs,string,21,0..1,,,,,,Description
uslng,LanguageType,22,0..1,,,,,,Language
xs,positiveInteger,23,0..1,,,,,,Length
urmyq,MimeTypeQualifierType,24,1,,,,,,MimeTypeQualifier
xs,string,25,1,,,,,,UniversalResourceIdentifier
xs,boolean,26,0..1,,,,,MultipleType
xs,positiveInteger,27,1,,,,,NumberOfItems
sdctr,DocumentSecurityType,28,0..1,,,,DocumentSecurity
xs,boolean,29,1,,,,,NonRepudiableReceipt
xs,boolean,30,1,,,,,PersistentEncryption
xs,boolean,31,1,,,,,PersistentSignature
xs,string,32,0..1,,,HeaderVersion
sdctr,ReceiverType,33,1,,,Receiver
sdctr,BusinessServiceInformationType,34,0..1,,,,BusinessServiceInformation
xs,string,35,1,,,,,ActionName
xs,string,36,1,,,,,ProcessIdentifier
xs,string,37,0..1,,,,,ProcessReference
xs,string,38,0..1,,,,,ProcessState
xs,string,39,1,,,,,ServiceName
ucttf,ContactInformationType,40,0..n,,,,ContactInformation
udtyp,ContactType,41,1,,,,,Contact
xs,string,42,0..1,,,,,Email
xs,string,43,0..1,,,,,Fax
xs,string,44,0..1,,,,,Identifier
xs,string,45,0..1,,,,,Phone
uptrn,PartnerIdentificationType,46,1,,,,PartnerIdentification
,,47,1,,,,,Choice
udtyp,DunsType,48,1,,,,,,Duns
udtyp,DunsPlus4Type,49,1,,,,,,DunsPlus4
udtyp,ReceiverIdentifierType,50,1,,,,,,ReceiverIdentifier
udtyp,SenderIdentifierType,51,1,,,,,,SenderIdentifier
sdctr,SenderType,52,1,,,Sender
sdctr,BusinessServiceInformationType,53,0..1,,,,BusinessServiceInformation
xs,string,54,1,,,,,ActionName
xs,string,55,1,,,,,ProcessIdentifier
xs,string,56,0..1,,,,,ProcessReference
xs,string,57,0..1,,,,,ProcessState
xs,string,58,1,,,,,ServiceName
ucttf,ContactInformationType,59,0..n,,,,ContactInformation
udtyp,ContactType,60,1,,,,,Contact
xs,string,61,0..1,,,,,Email
xs,string,62,0..1,,,,,Fax
xs,string,63,0..1,,,,,Identifier
xs,string,64,0..1,,,,,Phone
uptrn,PartnerIdentificationType,65,1,,,,PartnerIdentification
,,66,1,,,,,Choice
udtyp,DunsType,67,1,,,,,,Duns
udtyp,DunsPlus4Type,68,1,,,,,,DunsPlus4
udtyp,ReceiverIdentifierType,69,1,,,,,,ReceiverIdentifier
udtyp,SenderIdentifierType,70,1,,,,,,SenderIdentifier
,SalesReportType,71,1,,SalesReport
xs,string,72,0..1,,,AccountManagerCode
xs,string,73,0..1,,,Comment
dsspt,ContractDetailsType,74,0..1,,,ContractDetails
dsspt,DatePeriodAndDurationType,75,1,,,,ContractPeriod
,,76,1,,,,,Choice
udts,DatePeriodType,77,1,,,,,,DatePeriod
xs,date,78,1,,,,,,,Begin
xs,date,79,1,,,,,,,End
xs,duration,80,1,,,,,,Duration
xs,string,81,1,,,,Identifier
xs,string,82,1,,,,Type
xs,string,83,0..1,,,ExportReferenceNumber
xs,string,84,0..1,,,MarketType
dsspt,ParticipatingPartnerType,85,1..n,,,ParticipatingPartner
umtyp,TaxJurisdictionType,86,0..1,,,,TaxJurisdiction
uscnt,CountryType,87,1,,,,,Country
xs,string,88,0..1,,,,,Identifier
xs,string,89,0..1,,,,,Location
udtyp,PercentAmountType,90,0..1,,,,,Rate
,,91,1,,,,Choice
uptrn,IntermittentPartnerType,92,1,,,,,IntermittentPartner
ucttf,ContactInformationType,93,1,,,,,,ContactInformation
udtyp,ContactType,94,1,,,,,,,Contact
xs,string,95,0..1,,,,,,,Email
xs,string,96,0..1,,,,,,,Fax
xs,string,97,0..1,,,,,,,Identifier
xs,string,98,0..1,,,,,,,Phone
xs,string,99,1,,,,,,PartnerName
