<!-- Created with RosettaNet XSD2ALL 2.3.9 on Wed Jul 23 14:56:34 SGT 2008 -->
,AdvanceShipmentNotificationType,1,1,AdvanceShipmentNotification
,AdvanceShipmentType,2,1,,AdvanceShipment
upi,SpecifiedPartnerDescriptionType,3,1,,,PurchasedBy
,,4,1,,,,Choice
upi,SpecifiedFullPartnerType,5,1,,,,,SpecifiedFullPartner
uci,ContactInformationType,6,0..n,,,,,,ContactInformation
udt,ContactType,7,1,,,,,,,Contact
xs,string,8,0..1,,,,,,,Email
xs,string,9,0..1,,,,,,,Fax
xs,string,10,0..1,,,,,,,Identifier
xs,string,11,0..1,,,,,,,Phone
ulc,LocationType,12,0..1,,,,,,Location
,,13,1,,,,,,,Choice
ulc,AlternativeIdentifierType,14,1..n,,,,,,,,AlternativeIdentifier
xs,string,15,1,,,,,,,,,Authority
xs,string,16,1,,,,,,,,,Identifier
udt,DUNSType,17,1,,,,,,,,DUNS
udt,DUNSPlus4Type,18,1,,,,,,,,DUNSPlus4
udt,GLNType,19,1,,,,,,,,GLN
upi,PartnerIdentificationType,20,0..n,,,,,,PartnerIdentification
xs,string,21,0..1,,,,,,,PartnerName
,,22,1,,,,,,,Choice
ulc,AlternativeIdentifierType,23,1..n,,,,,,,,AlternativeIdentifier
xs,string,24,1,,,,,,,,,Authority
xs,string,25,1,,,,,,,,,Identifier
udt,DUNSType,26,1,,,,,,,,DUNS
udt,DUNSPlus4Type,27,1,,,,,,,,DUNSPlus4
udt,GLNType,28,1,,,,,,,,GLN
ulc,PhysicalAddressType,29,0..1,,,,,,PhysicalAddress
xs,string,30,1,,,,,,,AddressLine1
xs,string,31,0..1,,,,,,,AddressLine2
xs,string,32,0..1,,,,,,,AddressLine3
xs,string,33,0..1,,,,,,,AddressLine4
xs,string,34,0..1,,,,,,,AddressLine5
xs,string,35,1,,,,,,,CityName
uc,CountryType,36,1,,,,,,,Country
ucs,CountrySubdivisionType,37,0..1,,,,,,,CountrySubdivision
xs,string,38,0..1,,,,,,,PostalCode
xs,string,39,0..1,,,,,,,PostOfficeBox
upi,SpecifiedIntermittentPartnerType,40,1,,,,,SpecifiedIntermittentPartner
uci,ContactInformationType,41,1,,,,,,ContactInformation
udt,ContactType,42,1,,,,,,,Contact
xs,string,43,0..1,,,,,,,Email
xs,string,44,0..1,,,,,,,Fax
xs,string,45,0..1,,,,,,,Identifier
xs,string,46,0..1,,,,,,,Phone
ulc,PhysicalAddressType,47,1,,,,,,PhysicalAddress
xs,string,48,1,,,,,,,AddressLine1
xs,string,49,0..1,,,,,,,AddressLine2
xs,string,50,0..1,,,,,,,AddressLine3
xs,string,51,0..1,,,,,,,AddressLine4
xs,string,52,0..1,,,,,,,AddressLine5
xs,string,53,1,,,,,,,CityName
uc,CountryType,54,1,,,,,,,Country
ucs,CountrySubdivisionType,55,0..1,,,,,,,CountrySubdivision
xs,string,56,0..1,,,,,,,PostalCode
xs,string,57,0..1,,,,,,,PostOfficeBox
upi,SpecifiedKnownPartnerContactType,58,1,,,,,SpecifiedKnownPartnerContact
uci,ContactInformationType,59,0..n,,,,,,ContactInformation
udt,ContactType,60,1,,,,,,,Contact
xs,string,61,0..1,,,,,,,Email
xs,string,62,0..1,,,,,,,Fax
xs,string,63,0..1,,,,,,,Identifier
xs,string,64,0..1,,,,,,,Phone
upi,SpecifiedKnownPartnerType,65,1,,,,,,SpecifiedKnownPartner
upi,PartnerIdentificationType,66,1,,,,,,,PartnerIdentification
xs,string,67,0..1,,,,,,,,PartnerName
,,68,1,,,,,,,,Choice
ulc,AlternativeIdentifierType,69,1..n,,,,,,,,,AlternativeIdentifier
xs,string,70,1,,,,,,,,,,Authority
xs,string,71,1,,,,,,,,,,Identifier
udt,DUNSType,72,1,,,,,,,,,DUNS
udt,DUNSPlus4Type,73,1,,,,,,,,,DUNSPlus4
udt,GLNType,74,1,,,,,,,,,GLN
upi,SpecifiedNewPartnerType,75,1,,,,,SpecifiedNewPartner
uci,ContactInformationType,76,1..n,,,,,,ContactInformation
udt,ContactType,77,1,,,,,,,Contact
xs,string,78,0..1,,,,,,,Email
xs,string,79,0..1,,,,,,,Fax
xs,string,80,0..1,,,,,,,Identifier
xs,string,81,0..1,,,,,,,Phone
ulc,LocationType,82,1,,,,,,Location
,,83,1,,,,,,,Choice
ulc,AlternativeIdentifierType,84,1..n,,,,,,,,AlternativeIdentifier
xs,string,85,1,,,,,,,,,Authority
xs,string,86,1,,,,,,,,,Identifier
udt,DUNSType,87,1,,,,,,,,DUNS
udt,DUNSPlus4Type,88,1,,,,,,,,DUNSPlus4
udt,GLNType,89,1,,,,,,,,GLN
upi,PartnerIdentificationType,90,1..n,,,,,,PartnerIdentification
xs,string,91,0..1,,,,,,,PartnerName
,,92,1,,,,,,,Choice
ulc,AlternativeIdentifierType,93,1..n,,,,,,,,AlternativeIdentifier
xs,string,94,1,,,,,,,,,Authority
xs,string,95,1,,,,,,,,,Identifier
udt,DUNSType,96,1,,,,,,,,DUNS
udt,DUNSPlus4Type,97,1,,,,,,,,DUNSPlus4
udt,GLNType,98,1,,,,,,,,GLN
ulc,PhysicalAddressType,99,1,,,,,,PhysicalAddress
xs,string,100,1,,,,,,,AddressLine1
xs,string,101,0..1,,,,,,,AddressLine2
xs,string,102,0..1,,,,,,,AddressLine3
xs,string,103,0..1,,,,,,,AddressLine4
xs,string,104,0..1,,,,,,,AddressLine5
xs,string,105,1,,,,,,,CityName
uc,CountryType,106,1,,,,,,,Country
ucs,CountrySubdivisionType,107,0..1,,,,,,,CountrySubdivision
xs,string,108,0..1,,,,,,,PostalCode
xs,string,109,0..1,,,,,,,PostOfficeBox
upi,SpecifiedPartnerDescriptionType,110,1,,,ShipFrom
,,111,1,,,,Choice
upi,SpecifiedFullPartnerType,112,1,,,,,SpecifiedFullPartner
uci,ContactInformationType,113,0..n,,,,,,ContactInformation
udt,ContactType,114,1,,,,,,,Contact
xs,string,115,0..1,,,,,,,Email
xs,string,116,0..1,,,,,,,Fax
xs,string,117,0..1,,,,,,,Identifier
xs,string,118,0..1,,,,,,,Phone
ulc,LocationType,119,0..1,,,,,,Location
,,120,1,,,,,,,Choice
ulc,AlternativeIdentifierType,121,1..n,,,,,,,,AlternativeIdentifier
xs,string,122,1,,,,,,,,,Authority
xs,string,123,1,,,,,,,,,Identifier
udt,DUNSType,124,1,,,,,,,,DUNS
udt,DUNSPlus4Type,125,1,,,,,,,,DUNSPlus4
udt,GLNType,126,1,,,,,,,,GLN
upi,PartnerIdentificationType,127,0..n,,,,,,PartnerIdentification
xs,string,128,0..1,,,,,,,PartnerName
,,129,1,,,,,,,Choice
ulc,AlternativeIdentifierType,130,1..n,,,,,,,,AlternativeIdentifier
xs,string,131,1,,,,,,,,,Authority
xs,string,132,1,,,,,,,,,Identifier
udt,DUNSType,133,1,,,,,,,,DUNS
udt,DUNSPlus4Type,134,1,,,,,,,,DUNSPlus4
